Wearable-2,Ax,Ay,Az,Gx,Gy,Gz,Sensor time
192.168.43.159,0.070800781,0.890625,0.424804688,6.286621094,-0.122070313,-0.793457031,1.90E+08
192.168.43.159,0.072265625,0.899414063,0.403808594,6.713867188,-0.366210938,-1.220703125,1.90E+08
192.168.43.159,0.073730469,0.894042969,0.401855469,5.187988281,-0.061035156,-1.281738281,1.90E+08
192.168.43.159,0.083007813,0.893066406,0.41796875,4.272460938,1.953125,-1.647949219,1.90E+08
192.168.43.159,0.069335938,0.888671875,0.442871094,5.310058594,3.173828125,-2.075195313,1.90E+08
192.168.43.159,0.057128906,0.891601563,0.434570313,7.385253906,1.831054688,-2.319335938,1.90E+08
192.168.43.159,0.073730469,0.905761719,0.412597656,9.460449219,-0.793457031,-2.014160156,1.90E+08
192.168.43.159,0.08203125,0.901367188,0.403808594,9.643554688,-0.732421875,-2.075195313,1.90E+08
192.168.43.159,0.065429688,0.884765625,0.400390625,8.666992188,0.732421875,-2.44140625,1.91E+08
192.168.43.159,0.080078125,0.895507813,0.423828125,9.765625,0.427246094,-2.990722656,1.91E+08
192.168.43.159,0.078125,0.89453125,0.437011719,11.23046875,1.037597656,-3.112792969,1.91E+08
192.168.43.159,0.057128906,0.898925781,0.415527344,13.54980469,1.770019531,-2.746582031,1.91E+08
192.168.43.159,0.05859375,0.912597656,0.398925781,15.07568359,2.9296875,-2.319335938,1.91E+08
192.168.43.159,0.072753906,0.91015625,0.395019531,16.05224609,2.990722656,-1.831054688,1.91E+08
192.168.43.159,0.069824219,0.909179688,0.369140625,15.99121094,2.9296875,-2.197265625,1.91E+08
192.168.43.159,0.074707031,0.903808594,0.359863281,15.80810547,1.403808594,-2.807617188,1.91E+08
192.168.43.159,0.071289063,0.912597656,0.3671875,14.70947266,-0.061035156,-3.479003906,1.91E+08
192.168.43.159,0.059570313,0.918457031,0.399902344,15.93017578,1.831054688,-3.723144531,1.91E+08
192.168.43.159,0.049316406,0.914550781,0.40234375,17.21191406,3.051757813,-3.601074219,1.91E+08
192.168.43.159,0.051757813,0.920898438,0.349609375,19.83642578,-0.061035156,-3.295898438,1.91E+08
192.168.43.159,0.072753906,0.94140625,0.314941406,21.11816406,-2.807617188,-2.136230469,1.91E+08
